Age,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,Shift,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Cardiology,Department_Maternity,Department_Neurology,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Admin,JobRole_Administrative,JobRole_Nurse,JobRole_Other,JobRole_Therapist,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,Gender_binary,OverTime_binary,Attrition
26.0,1283.0,1.0,3.0,3.0,52.0,2.0,2.0,1.0,4294.0,11148.0,1.0,12.0,3.0,2.0,0.0,7.0,2.0,3.0,7.0,7.0,0.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0
59.0,326.0,3.0,3.0,3.0,48.0,2.0,2.0,4.0,5171.0,16490.0,5.0,17.0,3.0,4.0,0.0,13.0,2.0,3.0,6.0,1.0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
54.0,685.0,3.0,3.0,4.0,85.0,3.0,4.0,4.0,17779.0,23474.0,3.0,14.0,3.0,1.0,0.0,36.0,2.0,3.0,10.0,9.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0
49.0,1064.0,2.0,1.0,2.0,42.0,3.0,5.0,4.0,19161.0,13738.0,3.0,15.0,3.0,4.0,0.0,28.0,3.0,3.0,5.0,4.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
40.0,1194.0,1.0,3.0,3.0,52.0,3.0,2.0,4.0,6513.0,9060.0,4.0,17.0,3.0,4.0,1.0,12.0,3.0,3.0,5.0,3.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
31.0,798.0,7.0,2.0,3.0,48.0,2.0,3.0,3.0,8943.0,14034.0,1.0,24.0,4.0,1.0,1.0,10.0,2.0,3.0,10.0,9.0,8.0,9.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
38.0,1261.0,2.0,4.0,4.0,88.0,3.0,2.0,3.0,6553.0,7259.0,9.0,14.0,3.0,2.0,0.0,14.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0
42.0,355.0,10.0,4.0,3.0,38.0,3.0,1.0,3.0,2936.0,6161.0,3.0,22.0,4.0,2.0,2.0,10.0,1.0,2.0,6.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0
50.0,1207.0,28.0,1.0,4.0,74.0,4.0,1.0,3.0,3221.0,3297.0,1.0,11.0,3.0,3.0,3.0,20.0,3.0,3.0,20.0,8.0,3.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0
34.0,303.0,2.0,4.0,3.0,75.0,3.0,1.0,3.0,2231.0,11314.0,6.0,18.0,3.0,4.0,1.0,6.0,3.0,3.0,4.0,3.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
29.0,1413.0,1.0,1.0,2.0,42.0,3.0,3.0,4.0,7918.0,6599.0,1.0,14.0,3.0,4.0,1.0,11.0,5.0,3.0,11.0,10.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
22.0,457.0,26.0,2.0,2.0,85.0,2.0,1.0,3.0,2814.0,10293.0,1.0,14.0,3.0,2.0,0.0,4.0,2.0,2.0,4.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1
24.0,535.0,24.0,3.0,4.0,38.0,3.0,1.0,4.0,2400.0,5530.0,0.0,13.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0
49.0,1495.0,5.0,4.0,1.0,96.0,3.0,2.0,3.0,6651.0,21534.0,2.0,14.0,3.0,2.0,1.0,20.0,0.0,2.0,3.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
34.0,971.0,1.0,3.0,4.0,64.0,2.0,3.0,3.0,7083.0,12288.0,1.0,14.0,3.0,4.0,0.0,10.0,3.0,3.0,10.0,9.0,8.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0
49.0,722.0,25.0,4.0,3.0,84.0,3.0,1.0,1.0,3211.0,22102.0,1.0,14.0,3.0,4.0,1.0,10.0,3.0,2.0,9.0,6.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
43.0,1179.0,2.0,3.0,4.0,73.0,3.0,2.0,4.0,7847.0,6069.0,1.0,17.0,3.0,1.0,1.0,10.0,3.0,3.0,10.0,9.0,8.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0
27.0,1420.0,2.0,1.0,3.0,85.0,3.0,1.0,1.0,3041.0,16346.0,0.0,11.0,3.0,2.0,1.0,5.0,3.0,3.0,4.0,3.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0
27.0,210.0,1.0,1.0,3.0,73.0,3.0,2.0,2.0,6349.0,22107.0,0.0,13.0,3.0,4.0,1.0,6.0,0.0,3.0,5.0,4.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0
28.0,1117.0,8.0,2.0,4.0,66.0,3.0,1.0,4.0,3310.0,4488.0,1.0,21.0,4.0,4.0,0.0,5.0,3.0,3.0,5.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
52.0,585.0,29.0,4.0,1.0,40.0,3.0,1.0,4.0,3482.0,19788.0,2.0,15.0,3.0,2.0,2.0,16.0,3.0,2.0,9.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0
35.0,802.0,10.0,3.0,2.0,45.0,3.0,1.0,4.0,3917.0,9541.0,1.0,20.0,4.0,1.0,1.0,3.0,4.0,2.0,3.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
44.0,1112.0,1.0,4.0,1.0,50.0,2.0,2.0,3.0,5985.0,26894.0,4.0,11.0,3.0,2.0,0.0,10.0,1.0,4.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
